iter	RMSE
0	0.8850777094
1	0.8408801901
2	0.8014078543
3	0.7658803327
4	0.7351109673
5	0.7067793083
6	0.6822361859
7	0.6599655252
8	0.6403361486
9	0.6229830947
10	0.6081360748
11	0.594719305
12	0.583013717
13	0.5728284361
14	0.5645062021
15	0.5567715559
16	0.550309352
17	0.5444645219
18	0.5393803868
19	0.5348515071
20	0.5308878974
21	0.5274159353
22	0.5242250894
23	0.5214356774
24	0.5189136542
25	0.5165413512
26	0.5145478985
27	0.5123840051
28	0.5108810582
29	0.5091644391
30	0.5078397975
31	0.5065421598
32	0.5051580206
33	0.5039878891
34	0.5026884029
35	0.5013391403
36	0.5005058616
37	0.4997159783
38	0.4987384621
39	0.4972806632
40	0.496236048
41	0.4954722334
42	0.4946112214
43	0.4938119428
44	0.4930591497
45	0.4921894682
46	0.4912628129
47	0.4905305683
48	0.4901126964
49	0.4894989704
50	0.4887135247
51	0.4875062864
52	0.4866990331
53	0.4860122453
54	0.485300829
55	0.4842476347
56	0.4837185399
57	0.4829111978
58	0.4821732961
59	0.4811728714
60	0.4805193403
61	0.4797729581
62	0.479186161
63	0.4783258298
64	0.4773625966
65	0.4768074679
66	0.4762169956
67	0.4755991035
68	0.475210667
69	0.4746946197
70	0.4738291401
71	0.4731559405
72	0.4726362043
73	0.472227043
74	0.4717341141
75	0.4715407382
76	0.4711883162
77	0.4702475346
78	0.4696507453
79	0.469032516
80	0.4684898462
81	0.467982638
82	0.467494009
83	0.4667883417
84	0.4659535342
85	0.4653962265
86	0.4652284425
87	0.4645997655
88	0.4642269129
89	0.4633223514
90	0.4630334012
91	0.4625002638
92	0.4621751896
93	0.4616025613
94	0.4609640449
95	0.4604996038
96	0.4597861895
97	0.4593688226
98	0.4590095585
99	0.4584512932
100	0.4577108042
101	0.4574370216
102	0.4569399132
103	0.4564267739
104	0.4559459103
105	0.4557488784
106	0.4550114127
107	0.4547449088
108	0.4539794477
109	0.4536137217
110	0.4533874916
111	0.4526471666
112	0.4523141729
113	0.4520334307
114	0.45158471
115	0.4511032024
116	0.4508791175
117	0.4505916938
118	0.4503696283
119	0.4497679957
120	0.4493694298
121	0.4486739511
122	0.4479247323
123	0.4477374006
124	0.4472026221
125	0.446720708
126	0.4461161206
127	0.4455659006
128	0.4448521309
129	0.4442827432
130	0.4440260528
131	0.4439034137
132	0.443681786
133	0.4429758212
134	0.4423940913
135	0.4417122796
136	0.4414921654
137	0.4410916635
138	0.4403680911
139	0.4402444853
140	0.4398878269
141	0.4392869345
142	0.4389724876
143	0.4385298103
144	0.4380700471
145	0.4371857385
146	0.4371299684
147	0.4364358408
148	0.4361090093
149	0.435536532
150	0.4350120536
151	0.4345749473
152	0.4343209806
153	0.4340352437
154	0.4334020048
155	0.4329802043
156	0.4326760148
157	0.4324868159
158	0.4320862583
159	0.4316276882
160	0.4309494584
161	0.4305421493
162	0.430475351
163	0.4300249149
164	0.429775056
165	0.4294544991
166	0.4288381534
167	0.4282699039
168	0.4280429032
169	0.4275212866
170	0.427036033
