iter	Passed	Remaining
0	1	1599
1	3	1339
2	4	1353
3	6	1341
4	7	1295
5	8	1242
6	10	1271
7	12	1326
8	13	1308
9	14	1280
10	15	1246
11	17	1242
12	18	1229
13	19	1227
14	21	1211
15	22	1202
16	23	1212
17	25	1198
18	26	1193
19	27	1182
20	28	1177
21	30	1186
22	31	1177
23	32	1167
24	33	1155
25	35	1149
26	36	1148
27	37	1148
28	39	1142
29	40	1140
30	41	1139
31	43	1137
32	44	1136
33	45	1132
34	46	1130
35	48	1132
36	49	1132
37	51	1129
38	52	1127
39	53	1128
40	55	1130
41	56	1128
42	57	1125
43	59	1125
44	60	1128
45	62	1127
46	63	1124
47	64	1123
48	66	1122
49	67	1123
50	69	1123
51	70	1120
52	71	1117
53	73	1117
54	75	1123
55	76	1121
56	77	1118
57	78	1115
58	80	1114
59	81	1111
60	82	1108
61	84	1107
62	85	1105
63	86	1104
64	88	1103
65	89	1103
66	91	1104
67	92	1102
68	93	1101
69	95	1099
70	96	1098
71	98	1097
72	99	1096
73	100	1094
74	102	1094
75	103	1094
76	105	1093
77	106	1097
78	108	1095
79	109	1095
80	111	1098
81	113	1100
82	114	1098
83	115	1095
84	117	1091
85	118	1090
86	119	1089
87	121	1087
88	122	1084
89	123	1081
90	125	1083
91	126	1081
92	127	1079
93	129	1077
94	130	1074
95	132	1075
96	133	1075
97	134	1073
98	136	1070
99	137	1068
100	139	1070
101	140	1067
102	141	1064
103	142	1061
104	144	1060
105	145	1057
106	146	1059
107	148	1059
108	150	1059
109	151	1058
110	152	1054
111	153	1052
112	155	1051
113	156	1050
114	158	1048
115	159	1046
116	160	1045
117	162	1046
118	163	1045
119	165	1043
120	166	1043
121	168	1042
122	169	1040
123	170	1037
124	171	1035
125	173	1033
126	174	1033
127	176	1033
128	178	1033
129	179	1034
130	181	1033
131	183	1035
132	184	1035
133	186	1036
134	188	1036
135	190	1036
136	191	1035
137	192	1034
138	194	1035
139	196	1035
140	198	1035
141	199	1034
142	201	1036
143	203	1036
144	204	1035
145	206	1034
146	207	1033
147	209	1033
148	210	1031
149	212	1030
150	214	1030
151	215	1029
152	216	1027
153	218	1025
154	219	1024
155	221	1024
156	222	1022
157	223	1020
158	225	1019
159	227	1021
160	229	1020
161	230	1019
162	232	1017
163	233	1017
164	234	1015
165	236	1012
166	237	1012
167	239	1011
168	240	1010
169	242	1008
170	243	1006
