farm_id,region,date,location_lat,location_lon,crop_name,previous_crop,sowing_date,harvest_date,yield_ton_per_acre,area_acre,season,month,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_mps,forecast_rainfall_mm_7d,forecast_temp_max_c_7d,forecast_temp_min_c_7d,rolling_rain_7d,rolling_rain_30d,heat_stress_days_30d,growing_degree_days,rainfall_anomaly,spi_index,nitrogen,phosphorus,potassium,soil_ph,organic_carbon,npk_ratio,soil_fertility_score,monocrop_count,drought_risk_label,flood_risk_label
1,Maharashtra,2022-01-10,19.238,75.0167,maize,mustard,2022-01-10,2022-06-29,4.9,5.78,rabi,1,0.0,32.23,23.76,91.45,3.24,0.0,33.65,22.75,0.0,0.0,6,1026.42,-1.02,1.21,302.84,157.79,211.5,7.75,1.223,2.24,1.0,0,0,0
2,Assam,2021-10-07,26.1098,91.7004,cotton,wheat,2021-10-07,2022-01-26,3.33,1.97,kharif,10,238.06,32.21,23.12,99.0,1.18,143.88,31.33,24.75,166.79,650.64,3,1526.82,-0.35,0.15,333.4,117.4,134.1,7.42,0.701,1.95,1.0,5,0,1
3,Rajasthan,2021-03-28,27.1763,76.1651,wheat,cotton,2021-03-28,2021-09-03,3.7,1.75,zaid,3,22.18,28.58,20.6,44.03,1.44,18.17,29.31,21.29,24.0,85.95,4,1045.93,-0.37,-0.92,237.79,72.07,102.87,6.79,1.074,1.376,1.0,4,0,0
4,Kerala,2022-06-22,10.5913,76.7676,wheat,sorghum,2022-06-22,2022-11-23,5.06,2.53,kharif,6,70.8,30.71,23.03,99.0,1.08,64.81,30.0,23.47,49.74,216.36,6,1306.95,0.13,1.57,143.6,77.03,182.99,6.61,0.43,1.345,1.0,2,0,0
5,Punjab,2021-06-15,30.6511,76.1833,rice,wheat,2021-06-15,2021-10-26,3.43,6.08,kharif,6,44.48,32.03,25.24,51.0,2.98,38.32,33.8,23.78,41.7,160.0,3,1581.05,0.13,0.16,180.37,198.49,216.53,7.33,0.723,1.985,1.0,1,0,0
6,Punjab,2022-05-16,31.0492,76.0032,rice,maize,2022-05-16,2022-08-17,5.03,0.95,kharif,5,19.64,33.13,26.6,45.78,1.05,19.59,32.85,26.23,14.65,70.33,6,1158.58,-0.07,-1.84,286.82,112.98,214.51,6.67,0.941,2.048,1.0,3,1,0
7,Gujarat,2021-04-19,21.785,71.829,soybean,sorghum,2021-04-19,2021-08-19,2.55,5.7,rabi,4,12.19,30.93,23.68,30.88,5.11,13.01,29.65,24.73,6.84,25.04,4,892.85,0.13,0.31,285.93,103.46,138.09,5.99,1.332,1.758,1.0,0,0,0
8,Tamil Nadu,2021-02-12,11.4289,78.7982,soybean,mustard,2021-02-12,2021-05-30,3.47,2.02,kharif,2,14.27,27.87,16.95,91.31,2.41,16.52,29.11,18.74,7.87,36.9,1,1260.67,0.25,-0.99,216.49,167.53,234.06,7.73,0.492,2.06,1.0,1,0,0
9,Rajasthan,2022-06-16,26.5999,75.4731,mustard,soybean,2022-06-16,2022-11-13,2.91,4.51,kharif,6,46.65,45.0,38.55,30.0,6.44,34.09,45.94,37.9,29.66,151.26,11,1440.9,0.39,-0.33,303.97,83.65,137.49,7.21,1.317,1.75,1.0,3,0,0
10,Karnataka,2021-12-22,15.0218,75.6924,wheat,mustard,2021-12-22,2022-04-15,4.07,2.77,rabi,12,71.59,38.04,31.82,58.26,2.68,85.11,38.52,31.23,82.85,197.97,4,1268.9,-0.05,-1.52,183.66,68.97,133.5,5.67,0.354,1.287,0.964,4,1,0
11,Madhya Pradesh,2022-08-31,23.9433,79.04,soybean,rice,2022-08-31,2022-12-31,2.52,1.54,kharif,8,111.94,32.19,26.65,69.85,3.07,117.48,31.96,27.57,74.97,282.91,4,1393.73,0.09,-0.33,155.52,159.8,228.48,6.56,0.922,1.813,1.0,5,0,0
12,Rajasthan,2022-11-07,26.6725,76.2052,rice,mustard,2022-11-07,2023-02-07,4.0,2.03,kharif,11,115.75,34.25,28.11,31.93,4.56,143.91,32.84,26.73,94.43,335.25,4,912.16,-0.08,-0.75,243.73,178.5,228.87,7.5,1.065,2.17,1.0,5,0,0
13,Punjab,2021-08-07,31.3168,75.6593,maize,mustard,2021-08-07,2021-11-30,3.49,2.65,kharif,8,48.51,30.92,25.23,69.26,3.76,51.59,31.54,25.57,24.9,90.67,3,1212.54,0.64,0.76,200.5,146.24,233.36,6.23,1.071,1.934,1.0,0,0,0
14,Karnataka,2021-03-04,14.5233,75.1218,mustard,maize,2021-03-04,2021-06-02,2.31,6.66,rabi,3,19.96,36.4,26.5,75.3,1.91,21.83,37.43,24.39,16.35,74.67,6,1306.13,0.42,0.84,165.08,136.48,103.85,5.97,0.752,1.351,1.0,5,0,0
15,Punjab,2022-10-09,30.7734,76.1143,wheat,soybean,2022-10-09,2023-02-15,3.1,4.77,zaid,10,115.41,28.98,22.11,94.12,4.15,92.08,27.86,21.0,70.76,344.32,1,840.94,-0.51,-0.55,171.91,198.41,149.45,7.57,0.951,1.733,1.0,5,0,0
16,Rajasthan,2021-02-07,26.3867,75.9189,cotton,maize,2021-02-07,2021-06-28,3.78,6.2,kharif,2,64.53,35.77,27.57,30.0,4.07,55.41,35.87,27.7,28.49,104.89,7,1049.76,-0.9,0.55,220.96,105.34,144.93,5.77,0.494,1.571,1.0,5,0,0
17,Assam,2022-04-20,25.7707,91.3797,wheat,soybean,2022-04-20,2022-09-11,4.03,6.36,rabi,4,113.73,26.7,16.73,99.0,2.26,132.07,26.78,16.43,100.5,192.82,0,1233.51,-0.55,-0.08,251.07,116.53,173.85,7.37,1.284,1.805,1.0,4,0,0
18,West Bengal,2021-09-30,23.4542,88.8562,rice,soybean,2021-09-30,2022-03-19,4.53,5.51,rabi,9,113.75,25.3,17.78,95.31,2.97,100.38,25.57,18.32,68.42,239.73,4,804.67,0.12,-0.95,142.17,69.17,117.1,5.56,1.227,1.095,1.0,0,0,0
19,Assam,2022-10-08,26.3415,91.9183,soybean,wheat,2022-10-08,2023-03-30,1.77,2.52,rabi,10,132.31,29.37,20.7,98.29,2.09,81.64,31.54,19.61,56.73,307.48,5,1267.79,-0.24,2.06,193.75,74.56,188.19,6.95,0.835,1.522,1.0,4,0,0
20,Uttar Pradesh,2022-11-08,26.6547,80.9565,soybean,wheat,2022-11-08,2023-03-01,2.42,6.93,kharif,11,0.0,38.93,28.93,62.5,4.52,0.0,37.7,26.98,0.0,0.0,9,1640.17,-0.75,-0.9,327.53,117.15,111.99,7.25,0.552,1.856,1.0,1,0,0
21,Gujarat,2021-10-01,23.1735,71.5556,maize,rice,2021-10-01,2022-01-03,4.84,5.5,kharif,10,0.0,34.78,25.9,33.42,3.58,0.0,33.65,24.65,0.0,0.0,1,860.27,0.34,-0.14,212.32,177.42,170.13,7.13,1.021,1.866,1.0,0,0,0
22,Karnataka,2022-03-27,14.4013,76.1887,rice,maize,2022-03-27,2022-07-02,4.56,4.35,kharif,3,0.0,30.23,21.52,59.8,3.45,0.0,30.08,21.52,0.0,0.0,0,856.0,-1.24,-0.01,157.33,67.95,130.65,7.57,0.36,1.186,1.0,2,0,0
23,Rajasthan,2021-12-01,27.4152,75.4333,maize,rice,2021-12-01,2022-03-23,5.22,3.05,kharif,12,152.7,29.32,19.55,30.0,2.91,181.51,30.84,19.48,111.47,374.04,0,1435.51,-0.76,-0.94,269.38,60.64,93.55,6.6,0.614,1.412,1.0,0,0,0
24,Tamil Nadu,2022-09-07,11.4938,77.358,wheat,maize,2022-09-07,2023-03-06,3.01,5.93,kharif,9,67.35,24.56,14.22,89.63,2.2,63.19,24.55,11.35,47.2,231.99,0,1215.06,0.24,0.59,134.87,93.45,153.56,7.16,0.579,1.273,1.0,2,0,0
25,Haryana,2022-02-24,27.7887,76.5294,soybean,rice,2022-02-24,2022-06-01,2.17,4.34,kharif,2,96.85,33.3,27.18,52.2,2.39,123.56,31.71,26.83,111.89,336.84,7,1089.92,-0.81,-0.14,220.04,116.23,130.0,7.16,1.323,1.554,1.0,0,0,0
26,Bihar,2021-03-10,25.6784,85.8705,rice,wheat,2021-03-10,2021-07-31,3.3,6.27,kharif,3,58.44,30.42,22.95,73.5,4.49,72.33,29.6,22.05,64.72,143.78,2,1556.81,1.01,1.11,223.18,157.78,105.91,5.99,0.857,1.623,1.0,1,0,0
27,Tamil Nadu,2021-11-09,11.3604,77.8181,cotton,maize,2021-11-09,2022-03-08,3.89,2.77,kharif,11,169.95,27.71,21.88,89.07,3.92,186.5,27.82,20.57,177.61,492.18,0,1449.78,-0.11,0.6,175.55,183.29,109.35,6.68,0.988,1.561,1.0,2,0,0
28,Haryana,2022-01-09,28.6376,75.5665,sorghum,mustard,2022-01-09,2022-04-27,3.33,5.02,kharif,1,61.9,28.7,23.91,38.29,2.96,78.92,28.82,23.94,38.73,117.98,7,669.4,-0.41,2.67,122.48,101.52,106.92,7.9,0.598,1.103,1.0,5,0,0
29,Punjab,2022-05-10,31.6132,76.0151,rice,rice,2022-05-10,2022-09-05,3.77,1.37,zaid,5,22.42,30.24,21.57,54.36,3.25,26.55,27.95,20.96,24.7,55.93,3,1593.0,-1.28,0.33,299.25,186.13,97.4,6.24,0.465,1.943,1.0,0,0,0
30,Maharashtra,2022-03-24,19.2174,74.87,cotton,sorghum,2022-03-24,2022-07-15,3.54,4.09,kharif,3,112.15,28.91,22.15,94.02,4.19,124.04,28.28,22.42,69.45,313.69,4,1326.38,0.05,0.65,251.74,188.43,141.44,5.62,1.254,1.939,1.0,0,0,0
31,West Bengal,2021-09-24,22.7563,88.1606,maize,rice,2021-09-24,2022-03-03,4.75,5.62,rabi,9,20.82,23.28,13.54,66.88,2.44,15.52,23.05,13.85,23.62,67.19,0,1367.43,-0.4,-1.53,160.18,162.11,193.05,6.47,0.805,1.718,1.0,2,1,0
32,Uttar Pradesh,2021-01-14,26.2104,80.8946,maize,sorghum,2021-01-14,2021-07-08,4.54,5.7,rabi,1,48.64,30.87,23.45,63.53,4.21,30.1,30.68,25.88,48.03,165.84,0,1237.92,0.04,-0.15,311.25,185.83,156.19,6.55,0.884,2.178,1.0,3,0,0
33,Assam,2021-01-12,26.5156,91.3358,maize,rice,2021-01-12,2021-05-03,4.4,2.68,rabi,1,122.3,32.79,26.82,99.0,2.01,85.69,32.6,26.09,58.98,429.37,7,1266.65,0.13,-1.56,149.59,90.4,125.42,7.17,1.068,1.218,1.0,5,1,0
34,Assam,2022-02-09,26.2111,92.2932,soybean,soybean,2022-02-09,2022-06-03,2.42,4.81,kharif,2,210.9,21.28,12.89,94.51,3.53,228.78,20.01,13.22,242.51,495.54,0,1367.78,0.54,0.65,162.29,95.87,132.79,7.49,0.956,1.303,1.0,1,0,0
35,Odisha,2022-11-14,20.9407,85.2189,mustard,maize,2022-11-14,2023-03-13,2.35,3.69,rabi,11,0.0,23.65,16.41,99.0,3.07,0.0,22.93,15.74,0.0,0.0,0,1144.76,0.14,0.31,204.31,186.41,94.27,7.22,0.751,1.617,1.0,1,0,0
36,Haryana,2021-11-18,28.8211,75.3876,rice,mustard,2021-11-18,2022-03-04,3.69,6.25,rabi,11,2.91,29.56,21.46,70.99,1.98,1.84,29.27,21.48,2.57,5.01,3,1525.7,-0.23,-0.78,133.12,138.78,151.12,5.55,1.192,1.41,1.0,4,0,0
